title,author_first,author_last,classify_ISBN,classify_DDC,pages,publish_date,country,tags,date_added,user
lacus curabitur at ipsum ac tellus,Phelia,Lathee,050757363-3,201.061,1111,2005,Brazil,"[""vitae"",""cum"",""vivamus"",""orci"",""phasellus"",""semper rutrum"",""tortor"",""ultrices"",""proin"",""non ligula""]",03/21/2021,Phelia Lathee
in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,Helli,Traske,253746234-3,574.796,1321,2004,Indonesia,"[""integer a"",""duis faucibus"",""libero nullam"",""ante ipsum"",""faucibus cursus"",""luctus"",""turpis a"",""vestibulum"",""nulla elit"",""non""]",08/03/2020,Helli Traske
sapien quis libero,Wilfrid,Liddington,314212396-2,449.161,913,1990,Portugal,"[""sit"",""molestie"",""pharetra"",""cubilia"",""velit eu"",""luctus et"",""consequat"",""habitasse platea"",""malesuada"",""vivamus vel""]",12/07/2020,Wilfrid Liddington
pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,Helenelizabeth,Stitson,539077338-1,901.413,1682,1993,Poland,"[""felis"",""donec"",""ut massa"",""in eleifend"",""ante"",""nascetur ridiculus"",""suspendisse"",""nulla"",""rhoncus"",""diam nam""]",09/30/2020,Helenelizabeth Stitson
volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,Clarke,Caltun,297449370-X,903.49,1358,1989,China,"[""nibh quisque"",""augue vestibulum"",""tellus in"",""sed vel"",""turpis"",""quis lectus"",""vivamus metus"",""eget eros"",""vel augue"",""orci""]",12/21/2020,Clarke Caltun
ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,Vikki,Belcher,818470302-3,405.337,646,1991,Sweden,"[""curae"",""praesent blandit"",""morbi quis"",""libero"",""massa"",""ut rhoncus"",""velit"",""suscipit ligula"",""sit amet"",""sagittis sapien""]",10/01/2020,Vikki Belcher
semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,Kissiah,Rispin,221865010-X,170.295,651,2011,Indonesia,"[""aenean auctor"",""nunc"",""adipiscing"",""pretium"",""donec"",""vestibulum ac"",""enim"",""parturient"",""risus"",""ultrices""]",10/25/2020,Kissiah Rispin
vivamus in felis eu sapien cursus vestibulum proin,Brnaba,Minchenton,234285728-4,416.926,585,1985,United States,"[""ipsum ac"",""vitae"",""mauris"",""augue luctus"",""tincidunt"",""a feugiat"",""ipsum"",""sed"",""velit"",""cursus""]",03/07/2021,Brnaba Minchenton
turpis a pede posuere nonummy integer non velit donec diam,Gipsy,Cridlon,158115402-X,509.922,331,1996,Republic of the Congo,"[""ut massa"",""aliquet ultrices"",""nulla ut"",""venenatis"",""pede posuere"",""ipsum aliquam"",""elit"",""at"",""ante"",""consequat morbi""]",10/20/2020,Gipsy Cridlon
ut,Elton,Iveagh,475228052-3,957.087,290,2006,Portugal,"[""tortor duis"",""nibh in"",""quisque arcu"",""in purus"",""ante"",""tincidunt eget"",""integer"",""odio condimentum"",""ultrices posuere"",""at dolor""]",06/23/2020,Elton Iveagh
ut odio cras,Marla,Marsy,827718350-X,147.96,1016,2004,Chad,"[""mattis odio"",""cubilia"",""adipiscing elit"",""id nulla"",""dui vel"",""aliquam non"",""nulla eget"",""lacinia"",""fusce congue"",""sed magna""]",02/01/2021,Marla Marsy
non sodales sed tincidunt,Anna,Lammerich,511115006-4,17.905,1262,1994,Philippines,"[""sit amet"",""eget"",""primis in"",""fringilla rhoncus"",""mi sit"",""justo"",""id"",""tincidunt eget"",""velit eu"",""quam""]",01/21/2021,Anna Lammerich
interdum eu tincidunt in leo maecenas pulvinar lobortis,Noel,McCluskey,828272436-X,587.923,1815,2006,Philippines,"[""eu est"",""leo"",""at"",""mauris"",""morbi"",""eros"",""vehicula consequat"",""ullamcorper purus"",""hac"",""cras mi""]",01/23/2021,Noel McCluskey
justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,Tome,Thieme,661678029-5,560.409,1080,1987,Vietnam,"[""accumsan"",""turpis"",""pede"",""dui"",""aliquam"",""convallis nunc"",""ultricies eu"",""libero"",""ac est"",""nulla integer""]",10/08/2020,Tome Thieme
donec semper sapien a libero nam dui proin leo odio porttitor id consequat,Isidro,Tatteshall,607264661-1,650.114,1295,2011,Czech Republic,"[""augue vestibulum"",""mattis"",""ultrices libero"",""donec"",""orci"",""interdum"",""posuere metus"",""vivamus vestibulum"",""semper"",""sem praesent""]",03/09/2021,Isidro Tatteshall
neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum,Annamarie,Bonevant,131021990-7,244.12,131,2003,Philippines,"[""convallis duis"",""molestie nibh"",""leo pellentesque"",""lacus"",""quis"",""id lobortis"",""curae"",""eu"",""nec"",""et""]",08/01/2020,Annamarie Bonevant
justo eu massa donec dapibus duis,Bernetta,Creane,889686087-3,503.305,594,2003,Colombia,"[""at nibh"",""duis"",""ridiculus mus"",""vestibulum"",""ultrices erat"",""morbi a"",""nulla nunc"",""lectus suspendisse"",""aliquam lacus"",""dolor""]",06/30/2020,Bernetta Creane
